
EXP:	Mon Oct 31 09:20:45 2005
CONFLICTS SIMULATION:
Mode 2: Initialisation from file conflicts1.net

Number of agents=	69
Number of connections=	98
BEGIN OF REP #1 M.of.INITIAL=	-1.1	M.of.NOISE=	-0.5
 STEP/VERSION	Mean(State)	Min(State)	Max(State)	SD(State)	Mean(Acctivity)	Min(Acctivity)	Max(Acctivity)	SD(Acctivity)	
600	-0.87948	-0.914211	-0.810131	0.0343527	-0.846088	-0.911854	0.0089809	0.12896	
610	-0.878802	-0.909606	-0.812183	0.0328119	-0.845953	-0.90869	0.0089521	0.128646	
620	-0.879848	-0.913472	-0.820707	0.0323323	-0.84443	-0.909799	0.00892023	0.129136	
630	-0.880136	-0.914698	-0.814566	0.0323076	-0.84541	-0.909492	0.00895876	0.128874	
640	-0.879438	-0.911876	-0.815007	0.0331988	-0.845678	-0.914223	0.00900625	0.129027	
650	-0.878884	-0.908382	-0.810705	0.0336229	-0.845742	-0.911285	0.00897439	0.128896	
660	-0.879262	-0.909783	-0.809939	0.0319825	-0.845565	-0.914099	0.00894545	0.12904	
670	-0.87921	-0.913219	-0.808024	0.0338899	-0.846031	-0.913298	0.00885929	0.1291	
680	-0.878594	-0.910591	-0.811186	0.0346368	-0.845668	-0.913158	0.00896465	0.128865	
690	-0.878252	-0.910774	-0.810984	0.0333445	-0.845093	-0.909326	0.00890635	0.128951	
700	-0.879417	-0.912634	-0.808056	0.0335342	-0.844695	-0.91309	0.00895995	0.129219	
710	-0.878502	-0.913543	-0.810187	0.0339028	-0.845495	-0.910196	0.00899043	0.129683	
720	-0.878788	-0.91446	-0.810761	0.0342218	-0.846463	-0.910653	0.00889985	0.129127	
730	-0.878904	-0.911737	-0.809912	0.0334952	-0.845852	-0.908911	0.00886585	0.12906	
740	-0.879467	-0.914155	-0.812259	0.033705	-0.845832	-0.909356	0.00901286	0.128605	
750	-0.879341	-0.908784	-0.816708	0.0326999	-0.846861	-0.914622	0.00889087	0.128827	
760	-0.878871	-0.912788	-0.813249	0.0344344	-0.847136	-0.913782	0.0089331	0.12901	
770	-0.879087	-0.913652	-0.811411	0.0341392	-0.846404	-0.911397	0.00891915	0.129314	
780	-0.879066	-0.912033	-0.812065	0.0335513	-0.845082	-0.90964	0.00885629	0.129439	
790	-0.879964	-0.913024	-0.814102	0.0328575	-0.846317	-0.909953	0.00892078	0.128776	
800	-0.878988	-0.909353	-0.81211	0.0331049	-0.84701	-0.910685	0.0089363	0.128865	
810	-0.879463	-0.912434	-0.814552	0.032373	-0.846226	-0.912314	0.00887911	0.128683	
820	-0.880167	-0.912221	-0.807876	0.0335073	-0.847178	-0.911587	0.00897236	0.128601	
830	-0.879616	-0.912729	-0.817633	0.0329626	-0.845397	-0.912808	0.00895734	0.128973	
840	-0.879325	-0.913373	-0.809805	0.0342456	-0.845089	-0.909675	0.00900771	0.129064	
850	-0.877577	-0.911028	-0.806165	0.0354003	-0.844503	-0.910485	0.00886691	0.12949	
860	-0.878739	-0.912345	-0.813396	0.0331812	-0.846069	-0.910491	0.00898369	0.129227	
870	-0.879122	-0.910279	-0.806908	0.0333142	-0.845619	-0.907922	0.00893792	0.128736	
880	-0.879766	-0.911949	-0.810716	0.0328157	-0.845662	-0.907885	0.00893828	0.128343	
890	-0.879531	-0.911147	-0.81684	0.0328046	-0.843926	-0.91587	0.00891719	0.128848	
900	-0.879344	-0.912946	-0.807449	0.0338519	-0.844666	-0.912714	0.00892569	0.129117	
910	-0.879179	-0.913957	-0.814822	0.0341397	-0.845255	-0.910774	0.00894286	0.128874	
920	-0.879526	-0.911888	-0.804682	0.0341116	-0.846638	-0.911473	0.00893676	0.12878	
930	-0.878037	-0.911558	-0.811306	0.0330522	-0.845455	-0.914153	0.0089401	0.128909	
940	-0.879735	-0.914762	-0.810588	0.0348773	-0.845157	-0.915005	0.00895937	0.12962	
950	-0.879812	-0.911318	-0.80517	0.0326603	-0.846793	-0.910998	0.00894602	0.128934	
960	-0.878674	-0.912729	-0.811346	0.0338163	-0.846584	-0.915625	0.00894553	0.128851	
970	-0.87854	-0.912245	-0.812504	0.0337032	-0.844127	-0.909185	0.00890342	0.129125	
980	-0.879798	-0.915328	-0.812922	0.0323779	-0.845034	-0.90932	0.00899292	0.128927	
990	-0.879718	-0.912534	-0.811913	0.0342512	-0.844083	-0.909699	0.00885839	0.12938	
END OF REP #1
1000	-0.879671	-0.910509	-0.814595	0.0319603	-0.844834	-0.910557	0.00897334	0.128843	

Mode 2: Initialisation from file conflicts1.net
BEGIN OF REP #2 M.of.INITIAL=	-1.1	M.of.NOISE=	-0.4
0	-0.800499	-0.800499	-0.800499	8.24133e-008	0	0	0	0	
10	-0.85163	-0.896476	-0.765896	0.0434313	-0.811987	-0.889325	0.00873114	0.127129	
20	-0.850696	-0.89751	-0.765238	0.0436829	-0.812084	-0.890523	0.00865935	0.128306	
30	-0.850502	-0.889313	-0.76078	0.0432403	-0.813693	-0.897632	0.00875749	0.127867	
40	-0.851941	-0.889761	-0.759821	0.0433628	-0.812542	-0.893036	0.00873238	0.128111	
50	-0.850456	-0.891372	-0.769087	0.042545	-0.815064	-0.895094	0.00865156	0.127575	
60	-0.851325	-0.891957	-0.769539	0.0412634	-0.814861	-0.892601	0.00866667	0.127914	
70	-0.852035	-0.894135	-0.771602	0.0426109	-0.814418	-0.893985	0.00874964	0.127876	
80	-0.851463	-0.896556	-0.762262	0.0432028	-0.813487	-0.893154	0.00863743	0.127912	
90	-0.85197	-0.89184	-0.767013	0.0429786	-0.813073	-0.889715	0.00878195	0.127914	
100	-0.85148	-0.889678	-0.766873	0.0436292	-0.813719	-0.889956	0.00869027	0.128121	
110	-0.851784	-0.891041	-0.770354	0.0426301	-0.812113	-0.888882	0.00866733	0.12776	
120	-0.850609	-0.8927	-0.76792	0.0444923	-0.814573	-0.891832	0.00865129	0.128153	
130	-0.851866	-0.89127	-0.767498	0.0434637	-0.815215	-0.891488	0.00863342	0.127363	
140	-0.851763	-0.895343	-0.773754	0.0414682	-0.814392	-0.893442	0.0085969	0.128068	
150	-0.852562	-0.894232	-0.773595	0.0431911	-0.812395	-0.894208	0.00870269	0.127202	
160	-0.849557	-0.892288	-0.764904	0.0445063	-0.811166	-0.895931	0.00863526	0.128385	
170	-0.851704	-0.894611	-0.770381	0.042589	-0.813511	-0.890845	0.00857743	0.127571	
180	-0.85088	-0.893005	-0.771723	0.0425525	-0.815567	-0.888477	0.00860184	0.127257	
190	-0.850837	-0.890942	-0.766152	0.0429562	-0.814293	-0.890841	0.00867316	0.127985	
200	-0.852498	-0.8949	-0.765428	0.0438316	-0.815589	-0.893733	0.00871789	0.127963	
210	-0.85161	-0.895815	-0.762658	0.0445887	-0.813455	-0.891255	0.00866856	0.127705	
220	-0.851979	-0.890702	-0.76356	0.0424375	-0.8158	-0.888992	0.00870942	0.127405	
230	-0.850416	-0.897094	-0.765935	0.0438001	-0.814517	-0.893948	0.00879398	0.127936	
240	-0.851564	-0.892519	-0.769966	0.0434603	-0.815495	-0.888729	0.00871858	0.12726	
250	-0.851836	-0.895557	-0.767727	0.043924	-0.812531	-0.89079	0.00870973	0.127617	
260	-0.850908	-0.897299	-0.764169	0.0447182	-0.814926	-0.889524	0.00865248	0.127381	
270	-0.850887	-0.891021	-0.769707	0.0429129	-0.812589	-0.890783	0.00872835	0.127766	
280	-0.851055	-0.893114	-0.767684	0.0439216	-0.813467	-0.894053	0.00871651	0.128101	
290	-0.851573	-0.891182	-0.769635	0.043049	-0.815247	-0.892908	0.00869765	0.12847	
300	-0.850978	-0.895524	-0.762746	0.0426966	-0.813855	-0.893201	0.0086842	0.12723	
310	-0.852302	-0.892494	-0.764451	0.0439442	-0.814255	-0.890184	0.00880024	0.127721	
320	-0.85258	-0.893329	-0.765119	0.0446072	-0.814871	-0.891253	0.00872296	0.12806	
330	-0.85191	-0.892004	-0.759799	0.0429969	-0.816288	-0.895521	0.00874211	0.127818	
340	-0.853063	-0.894278	-0.769644	0.042876	-0.814864	-0.89734	0.00875602	0.127237	
350	-0.851274	-0.897211	-0.762699	0.0428977	-0.81522	-0.893841	0.00869367	0.128677	
360	-0.851196	-0.892693	-0.763556	0.0432628	-0.814571	-0.888557	0.00860844	0.128143	
370	-0.85246	-0.894477	-0.759233	0.0422117	-0.814738	-0.893436	0.0085439	0.127902	
380	-0.851058	-0.890462	-0.772499	0.0418879	-0.81209	-0.898215	0.00867825	0.128526	
390	-0.851817	-0.895802	-0.752431	0.0422471	-0.813513	-0.895818	0.00870585	0.127739	
400	-0.851156	-0.888541	-0.768231	0.0427949	-0.81438	-0.893123	0.00873607	0.127995	
410	-0.852628	-0.89409	-0.769015	0.0438648	-0.815056	-0.889833	0.00869816	0.127525	
420	-0.850921	-0.88977	-0.757016	0.0428125	-0.815728	-0.890494	0.00868365	0.127679	
430	-0.852322	-0.894359	-0.759851	0.0446284	-0.812043	-0.895964	0.00875674	0.128201	
440	-0.852185	-0.891781	-0.770487	0.0415978	-0.81226	-0.89583	0.00867137	0.127814	
450	-0.851599	-0.896287	-0.764887	0.0428781	-0.815393	-0.894996	0.0086791	0.127551	
460	-0.852517	-0.895983	-0.763387	0.0438952	-0.814212	-0.892083	0.00877163	0.128204	
470	-0.852065	-0.894312	-0.765635	0.0428486	-0.812834	-0.890245	0.00864226	0.129183	
480	-0.851593	-0.892127	-0.76293	0.0437819	-0.812972	-0.892103	0.00874352	0.12825	
490	-0.851771	-0.892917	-0.770977	0.0430449	-0.814106	-0.891665	0.00878787	0.127002	
500	-0.851701	-0.898977	-0.765377	0.0427984	-0.81397	-0.895085	0.00872678	0.128206	
510	-0.851483	-0.896522	-0.770497	0.0434751	-0.814877	-0.892769	0.00864331	0.12752	
520	-0.850418	-0.890633	-0.763919	0.0425128	-0.813974	-0.894789	0.0087507	0.127627	
530	-0.850455	-0.889043	-0.768154	0.0432867	-0.814319	-0.893511	0.00865816	0.127458	
540	-0.851971	-0.894648	-0.753334	0.0422117	-0.816358	-0.887266	0.0086678	0.127019	
550	-0.851662	-0.891121	-0.768019	0.0419911	-0.813305	-0.892589	0.00879854	0.127863	
560	-0.85215	-0.890574	-0.759728	0.0436934	-0.813759	-0.888174	0.00872585	0.128363	
570	-0.853088	-0.893168	-0.766527	0.0425791	-0.814166	-0.887923	0.00869609	0.127495	
580	-0.850658	-0.89521	-0.752996	0.044912	-0.812997	-0.894417	0.00878787	0.128828	
590	-0.850296	-0.892301	-0.759441	0.0458379	-0.812448	-0.890295	0.00865274	0.127765	
600	-0.851753	-0.892876	-0.764881	0.0437354	-0.812832	-0.886237	0.00868654	0.127619	
610	-0.851473	-0.895277	-0.758218	0.0435885	-0.813579	-0.890923	0.00865715	0.12839	
620	-0.853018	-0.893958	-0.76964	0.0410028	-0.8143	-0.894448	0.00867044	0.12758	
630	-0.849619	-0.892829	-0.761371	0.0447005	-0.815474	-0.894202	0.00871775	0.127256	
640	-0.852171	-0.891427	-0.759625	0.0425185	-0.813882	-0.893334	0.00879636	0.127653	
650	-0.850527	-0.891572	-0.755964	0.0449996	-0.813235	-0.892623	0.00867454	0.127897	
660	-0.851432	-0.891986	-0.755884	0.0429684	-0.811934	-0.894647	0.00868037	0.128252	
670	-0.851182	-0.896064	-0.759076	0.0427953	-0.814107	-0.891092	0.00863175	0.127456	
680	-0.851214	-0.894297	-0.766737	0.0440412	-0.811728	-0.890032	0.00871048	0.128159	
690	-0.852426	-0.891895	-0.765756	0.0429202	-0.815903	-0.892832	0.0087152	0.12742	
700	-0.851167	-0.895735	-0.76354	0.0429197	-0.813295	-0.890335	0.00861621	0.128369	
710	-0.849916	-0.892062	-0.763379	0.0434839	-0.813967	-0.89341	0.00860828	0.127738	
720	-0.850941	-0.895534	-0.767039	0.0435339	-0.813521	-0.893456	0.00869174	0.12846	
730	-0.851481	-0.893593	-0.767806	0.0429906	-0.8125	-0.89242	0.00869156	0.128417	
740	-0.851475	-0.891348	-0.765034	0.0436499	-0.814099	-0.891535	0.00871034	0.128469	
750	-0.850377	-0.891678	-0.761829	0.0435647	-0.813002	-0.892204	0.00868626	0.128583	
760	-0.852333	-0.89337	-0.765399	0.0428842	-0.814371	-0.89056	0.00870855	0.127537	
770	-0.851142	-0.892783	-0.760664	0.0443095	-0.814263	-0.894531	0.00876506	0.127493	
780	-0.852388	-0.89544	-0.767671	0.0415785	-0.812923	-0.889688	0.00868	0.127275	
790	-0.850548	-0.895154	-0.763358	0.0467242	-0.814999	-0.891014	0.00870473	0.128076	
800	-0.851852	-0.896684	-0.773233	0.0437881	-0.810986	-0.895187	0.00865937	0.128238	
810	-0.852304	-0.892044	-0.764848	0.0432452	-0.812007	-0.890237	0.00871311	0.128002	
820	-0.851284	-0.892009	-0.765836	0.0425532	-0.8133	-0.891105	0.00869325	0.127812	
830	-0.851219	-0.892221	-0.768477	0.0419834	-0.812619	-0.889719	0.00881272	0.127805	
840	-0.852553	-0.898543	-0.773896	0.0423602	-0.815007	-0.888656	0.00856716	0.128107	
850	-0.849315	-0.896566	-0.760613	0.0460934	-0.813722	-0.893248	0.00873781	0.129025	
860	-0.851027	-0.892805	-0.771846	0.0415549	-0.813902	-0.895031	0.00870751	0.127984	
870	-0.850828	-0.890543	-0.756794	0.0434574	-0.814159	-0.889335	0.00870135	0.128345	
880	-0.851302	-0.89284	-0.765725	0.0426188	-0.812698	-0.891514	0.00863056	0.127697	
890	-0.852716	-0.89386	-0.766845	0.0420254	-0.814998	-0.891716	0.00865914	0.127628	
900	-0.85223	-0.893216	-0.76918	0.0420835	-0.815363	-0.891362	0.00874966	0.127653	
910	-0.850025	-0.892779	-0.75776	0.0448769	-0.81253	-0.897333	0.0086751	0.127965	
920	-0.85056	-0.892383	-0.763563	0.0446324	-0.81251	-0.891012	0.0086578	0.127796	
930	-0.85062	-0.897687	-0.755735	0.0435304	-0.813504	-0.888013	0.00867223	0.127433	
940	-0.850991	-0.893775	-0.761012	0.0437672	-0.813627	-0.891402	0.00872375	0.127976	
950	-0.851649	-0.89332	-0.770764	0.0420424	-0.812585	-0.88884	0.00868466	0.127976	
960	-0.851871	-0.895157	-0.772263	0.0420547	-0.813691	-0.896837	0.00859516	0.128203	
970	-0.852606	-0.895445	-0.768879	0.042552	-0.814806	-0.88974	0.008804	0.127753	
980	-0.850583	-0.892048	-0.760571	0.0442341	-0.814037	-0.896124	0.00873938	0.128417	
990	-0.850021	-0.892281	-0.761155	0.0428099	-0.81234	-0.889446	0.00874765	0.128024	
END OF REP #2
1000	-0.851013	-0.891673	-0.768167	0.0426595	-0.814431	-0.893524	0.00868043	0.128049	

Mode 2: Initialisation from file conflicts1.net
BEGIN OF REP #3 M.of.INITIAL=	-1.1	M.of.NOISE=	-0.3
0	-0.800499	-0.800499	-0.800499	9.36872e-008	0	0	0	0	
10	-0.816092	-0.869805	-0.701792	0.0570402	-0.771686	-0.867963	0.00840512	0.128197	
20	-0.817286	-0.871516	-0.708918	0.0570763	-0.771702	-0.86608	0.00831952	0.129238	
30	-0.816735	-0.873457	-0.710861	0.0569655	-0.772016	-0.86797	0.00819034	0.127978	
40	-0.817364	-0.871629	-0.705762	0.0558512	-0.771809	-0.878455	0.00846839	0.128427	
50	-0.815084	-0.868044	-0.702055	0.0590773	-0.771239	-0.866198	0.00847929	0.128044	
60	-0.816937	-0.869163	-0.698894	0.0570717	-0.774427	-0.871544	0.00838503	0.128492	
70	-0.816465	-0.872765	-0.700629	0.0568209	-0.772395	-0.866811	0.00849273	0.127058	
80	-0.816039	-0.868277	-0.705517	0.0567597	-0.774904	-0.873715	0.00839643	0.129106	
90	-0.816288	-0.871515	-0.698806	0.0566292	-0.772705	-0.866941	0.00833527	0.128361	
100	-0.813959	-0.869238	-0.694903	0.0574518	-0.770435	-0.864019	0.00838157	0.129534	
110	-0.816229	-0.875122	-0.702913	0.0590405	-0.771459	-0.872285	0.00841315	0.128733	
120	-0.814751	-0.872493	-0.695348	0.0600297	-0.770295	-0.87133	0.0083275	0.129142	
